period,c1i,C1s,a1,a4,a45,a5,a13,C4,a9,a2,a3,a6,a10,a14,a11,a8,a12,vlin,b,n,c,tau,phi,phi_s2s,phi_ss,total_sigma
0.01,8.199999809265137,7.5,3.786956874292708,0.6118670381189036,0.2619502883020623,0.2155020548977236,-1.4970381845824842e-05,10.0,0.4000000059604645,-1.2621857922421704,0.1024044808621182,-0.0033122564200311,3.3372194437334546,-0.4899839700714994,0.0042432329888477,0.0407619689616759,1.0174230337142944,865.0999755859375,-1.1859999895095823,1.1799999475479126,1.8799999952316284,0.5366762734923888,0.7394461248678977,0.547261441976023,0.4972780768428008,0.9136749936995254
0.05,8.199999809265137,7.5,4.785730404408851,1.0157504988971784,0.2516883082847535,0.2670526606761586,0.0496868166547677,10.0,0.4000000059604645,-1.386532291824772,0.0931435448313278,-0.0038826097734272,2.5392531163197853,-0.3470420271524004,0.0036301290823506,0.0430729698307126,1.3217902183532717,1053.5,-1.3459999561309814,1.1799999475479126,1.8799999952316284,0.6044026801437462,0.8183818426634181,0.6394368946555016,0.510753657015298,1.0173747786170615
0.1,8.199999809265137,7.5,5.5794632726870566,1.0405322128331396,0.2416810629543931,0.4308535523905408,0.0273298869624048,10.0,0.4000000059604645,-1.4065956535430415,0.0534566652739518,-0.0039030411280691,2.404060928187467,-0.3395057734131266,0.0037637399510227,0.0416707479887852,1.6972240209579468,1032.5,-1.6239999532699585,1.1799999475479126,1.8799999952316284,0.585899820043333,0.8151538320542459,0.6266926251757754,0.5212793142481454,1.003869697241396
0.2,8.199999809265137,7.5,5.297654100977677,0.6610031037909735,0.2933831405526027,0.5075511863383986,-0.0478513416337409,10.0,0.4000000059604645,-1.2728338122792855,0.0226195978677563,-0.0034395458642393,3.279089097199687,-0.4898694256036047,0.0035640721183397,0.039806796837756,2.193808555603028,748.2000122070312,-2.187999963760376,1.1799999475479126,1.8799999952316284,0.5193455747394431,0.7759501415271148,0.5704151719025483,0.5260467220688062,0.9337121869920044
0.3,8.199999809265137,7.5,4.932387399290412,0.2173393285489687,0.3098248480854784,0.1924950588555969,-0.1081382411293933,10.0,0.4000000059604645,-1.1863576924431949,0.0438273591795952,-0.0031101398635655,3.8000362298973,-0.5560489989855759,0.0030744902759779,0.0375684208243836,2.442389965057373,587.0999755859375,-2.5179998874664307,1.1799999475479126,1.8799999952316284,0.4892683047225471,0.7404212437568995,0.5240909990696713,0.5230222202743091,0.8874723050397625
0.4,8.199999809265137,7.5,4.780453695719719,0.0106867388175637,0.3278378579028609,0.0449322198724214,-0.1389642090279882,10.0,0.4000000059604645,-1.163171721281967,0.0549280771648603,-0.0027922592125833,3.8974348890498,-0.5595072621324396,0.0029882426266687,0.0356375324492024,2.4946608543396,503.0,-2.657000064849853,1.1799999475479126,1.8799999952316284,0.4811537138837926,0.725768663692794,0.5082514083947538,0.518093291853092,0.8707749706913896
0.5,8.199999809265137,7.5,4.533481087768503,-0.1924296128164661,0.3179980632910902,-0.1415507523253947,-0.1628516160212539,10.0,0.4000000059604645,-1.1333850079359675,0.076595483053707,-0.0026274640113115,3.8212465475045807,-0.5272695051699079,0.0028750764187792,0.0332940466728373,2.418125867843628,456.6000061035156,-2.6689999103546143,1.1799999475479126,1.8799999952316284,0.4820672311565883,0.7218570841286619,0.5059075754314434,0.5149127839040437,0.8680244612116145
0.75,8.149999618530273,7.5,3.649488459197056,-0.4746937026097604,0.2652282486412409,-0.5102133417965568,-0.1899167124001549,10.0,0.4000000059604645,-1.0209019639700945,0.1246147656327188,-0.0025821863673627,3.796146840880142,-0.5155990182138236,0.0023180062129942,0.0296926176647182,2.000653982162476,410.5,-2.401000022888184,1.1799999475479126,1.8799999952316284,0.4846397759856359,0.7087307286482721,0.4802614575364565,0.5211987894606712,0.8585889343555029
1.0,8.100000381469727,7.5,2.9958051386153377,-0.5839260815873049,0.2368619857683245,-0.6854578286722958,-0.1993701438031508,10.0,0.4000000059604645,-0.9609591909404748,0.151368184641825,-0.002591585740447,3.640059402187888,-0.4866608589511811,0.0016948269353237,0.0263783632430727,1.4833576679229736,400.0,-1.955000042915344,1.1799999475479126,1.8799999952316284,0.4748698080653668,0.7025974500008897,0.4764540484685013,0.5163668428992393,0.848023886078565
1.5,8.050000190734863,7.5,1.8808386755907849,-0.688740260898632,0.203986096955834,-0.8246943105842619,-0.2121998770678964,10.0,0.4000000059604645,-0.8510574602654596,0.1766046659098899,-0.0028486598748713,3.385899914289126,-0.4418357652905574,0.0007999273793122,0.0232946175012772,0.5383153557777405,400.0,-1.024999976158142,1.1799999475479126,1.8799999952316284,0.4624014007402618,0.647629214472399,0.413502176382661,0.4984371069301915,0.7957629388484316
2.0,8.0,7.5,1.0140733368876649,-0.645117739385439,0.1896968125999064,-0.8606780100802466,-0.2034782361650685,10.0,0.4000000059604645,-0.7698645172205832,0.1933958532854875,-0.0030213464051485,3.3824033107914544,-0.4516561827777522,0.0001685174164532,0.0234823934686969,-0.242203414440155,400.0,-0.2989999949932098,1.1799999475479126,1.8799999952316284,0.4523502476633682,0.6184370661465937,0.3896784045128064,0.4802240579566582,0.7662148206248146
2.5,7.949999809265137,7.5,0.77319216559222,-0.444322075329173,0.1722904169273311,-0.7913207343704762,-0.1915681698441227,10.0,0.4000000059604645,-0.7733696277882226,0.1808444935664389,-0.0028908462263643,3.196924481545598,-0.452149198805141,7.683531816585283e-05,0.023298370034407,-0.5987874865531921,400.0,0.0,1.1799999475479126,1.8799999952316284,0.4418987638890575,0.5886623684636083,0.3643297716354061,0.4623712810559041,0.7360692233559707
3.0,7.900000095367432,7.5,0.4830723866979899,-0.2218159995561971,0.1436926364375093,-0.7205353418317461,-0.1694341007899455,10.0,0.4000000059604645,-0.7705323118571515,0.1789552379973627,-0.0029098305385559,2.8244663630039435,-0.4191285662587541,1.5108345934620874e-05,0.0214444786665881,-0.543627917766571,400.0,0.0,1.1799999475479126,1.8799999952316284,0.4341592227148608,0.577850196836736,0.3556816497841268,0.45541345389777,0.722775954672419
4.0,7.849999904632568,7.5,-0.3210724091182254,0.189979426859304,0.111321614148473,-0.5690343336101361,-0.1189236643523136,10.0,0.4000000059604645,-0.7232430058993441,0.1824321693880907,-0.0031476125586777,2.351365585276855,-0.3833800373756136,-0.000197593259275,0.01776760686841,-0.4866203963756561,400.0,0.0,1.1799999475479126,1.8799999952316284,0.4193824966653177,0.5593292830334334,0.3245861099563189,0.4555141096410945,0.6990929304233665
5.0,7.800000190734863,7.5,-1.1072052589286858,0.6014147105240499,0.0894357454161567,-0.3976137932699292,-0.0646230258084004,10.0,0.4000000059604645,-0.6645485749306608,0.1881347281648408,-0.0034519904293119,1.9589570191660468,-0.3563275334793885,-0.0004825234798181,0.0144243569909877,-0.4450077414512634,400.0,0.0,1.1799999475479126,1.8799999952316284,0.3991793300843175,0.5615703251920319,0.321563124430764,0.4603893864356664,0.6889886557141917
